file,duration,rms,rms_db,peak,snr,spectral_centroid,spectral_bandwidth,frequency_diversity,dynamic_range,model
/scratch/rc01492/experiments/exp1a_audioldm1/wav/000__solo piano classical sonata_ concert hall_ expressive dynami.wav,10.0,0.049381669610738754,-26.128684801337542,0.4726995229731069,17.823907728235493,734.8667649288903,248.01558803024344,7.056344657030422e-06,58.631445223327404,AudioLDM1
/scratch/rc01492/experiments/exp1a_audioldm1/wav/001__solo piano romantic piece_ warm room_ emotional performance.wav,10.0,0.07146290689706802,-22.918386560194506,0.4743591248999105,14.257506083520655,475.38335265798815,161.43580002375418,4.4987673391005956e-06,51.29087273944283,AudioLDM1
/scratch/rc01492/experiments/exp1a_audioldm1/wav/002__solo piano baroque style_ dry studio_ precise fingerwork_ ha.wav,10.0,0.05909479781985283,-24.56901493866939,0.46255913376908164,16.82012596188415,547.6981549273911,173.60216157221961,4.279409040464088e-06,58.96729043260771,AudioLDM1
/scratch/rc01492/experiments/exp1a_audioldm1/wav/003__solo piano contemporary composition_ intimate space_ complex.wav,10.0,0.07174988836050034,-22.883575654959294,0.5560284852991567,6.5040086895466365,539.2545502427945,181.72697145490665,4.6449217734334525e-06,36.55352604668029,AudioLDM1
/scratch/rc01492/experiments/exp1a_audioldm1/wav/004__solo piano chopin nocturne_ large hall_ rubato phrasing_ del.wav,10.0,0.06813187152147293,-23.332993552076992,0.49559125304322105,8.37184651719407,474.68481906858517,181.8220485698553,4.8890938160184305e-06,39.033894699345,AudioLDM1
/scratch/rc01492/experiments/exp1a_audioldm1/wav/005__solo piano beethoven sonata_ medium room_ powerful chords_ d.wav,10.0,0.0665760263800621,-23.53364271328485,0.3939598798761831,11.097806355580758,540.0722851697795,168.31364681809563,4.530731075647054e-06,49.83382138477896,AudioLDM1
/scratch/rc01492/experiments/exp1a_audioldm1/wav/006__solo piano jazz improvisation_ club atmosphere_ swing rhythm.wav,10.0,0.12712855637073517,-17.915137908110317,0.6643321514139638,7.545261482494405,430.04694032065004,339.28087231531885,4.565988092508633e-06,43.213622684912295,AudioLDM1
/scratch/rc01492/experiments/exp1a_audioldm1/wav/007__solo piano minimalistic piece_ small chamber_ repetitive pat.wav,10.0,0.10941202938556671,-19.218698521258023,0.7191246747980581,5.595741921088014,463.1347922736019,145.32293583178404,4.772228294314118e-06,31.98997887133009,AudioLDM1
/scratch/rc01492/experiments/exp1a_audioldm1/wav/008__solo piano fast etude_ bright room_ technical virtuosity_ ra.wav,10.0,0.10646651685237885,-19.455738929108925,0.5740326643000112,6.050983829022351,468.63089603036104,222.71109441318941,5.487783255375689e-06,33.772390455206505,AudioLDM1
/scratch/rc01492/experiments/exp1a_audioldm1/wav/009__solo piano slow ballad_ intimate setting_ emotional melody_ .wav,10.0,0.08825453370809555,-21.08525959048862,0.6519572734842763,8.002066575579931,413.4179237411389,162.84621770357603,4.509447990130866e-06,33.451934298533054,AudioLDM1
/scratch/rc01492/experiments/exp1a_audioldm1/wav/010__solo violin classical concerto_ concert hall_ virtuosic perf.wav,10.0,0.16959665715694427,-15.41165398017946,0.9115299582491384,6.5254882218938075,671.3085246635998,255.79872536408368,1.5675740314691211e-06,38.17204876084705,AudioLDM1
/scratch/rc01492/experiments/exp1a_audioldm1/wav/011__solo cello baroque suite_ chamber hall_ warm tone_ expressiv.wav,10.0,0.10961106419563293,-19.2029123956198,0.5533995032320486,5.564329905365111,339.47053064522146,181.39304171347712,4.224323674861807e-06,29.862010289853572,AudioLDM1
/scratch/rc01492/experiments/exp1a_audioldm1/wav/012__solo flute mozart concerto_ medium room_ airy sound_ precise.wav,10.0,0.14144061505794525,-16.98851723159352,0.6694440841684804,7.121733482675674,781.4992783898816,99.93776919780129,1.2134789812989766e-06,36.501222439720294,AudioLDM1
/scratch/rc01492/experiments/exp1a_audioldm1/wav/013__solo clarinet romantic piece_ warm space_ mellow timbre_ smo.wav,10.0,0.16460886597633362,-15.670935395149808,0.5892560482035146,3.5099446624231687,289.9125298776172,159.29338767716584,4.47131969849579e-06,20.37545261606298,AudioLDM1
/scratch/rc01492/experiments/exp1a_audioldm1/wav/014__solo trumpet fanfare_ large hall_ bright brass_ strong attac.wav,10.0,0.10643482208251953,-19.458325271241364,0.5125468969355093,50.59381283570538,527.0721450490777,235.3299543003083,1.5882971638347954e-05,119.15819942804013,AudioLDM1
/scratch/rc01492/experiments/exp1a_audioldm1/wav/015__violin and cello duet_ chamber hall_ counterpoint_ harmoniou.wav,10.0,0.1702420860528946,-15.378661150107666,0.8451393842707143,9.20232966077974,443.56521524617534,311.5666635094748,4.489075763558503e-06,38.84372417496607,AudioLDM1
/scratch/rc01492/experiments/exp1a_audioldm1/wav/016__flute and clarinet duet_ medium room_ woodwind ensemble_ lig.wav,10.0,0.19709506630897522,-14.106484766335365,0.7345588207254873,15.470129936495765,608.0571776828784,219.60352218029323,4.492496373131871e-06,82.44441710262674,AudioLDM1
/scratch/rc01492/experiments/exp1a_audioldm1/wav/017__string trio violin viola cello_ concert hall_ classical peri.wav,10.0,0.11277070641517639,-18.956074020874112,0.7162335515032278,6.031016034145573,526.0273412729537,356.99526783910204,4.009799795312574e-06,32.25426073778586,AudioLDM1
