file,duration,rms,rms_db,peak,snr,spectral_centroid,spectral_bandwidth,frequency_diversity,dynamic_range,model
/scratch/rc01492/experiments/exp1b_audioldm2/wav/000__solo piano classical sonata_ concert hall_ expressive dynami.wav,10.0,0.10693605244159698,-19.41751725692213,0.5656498074541555,4.805192698193425,430.79345770573525,217.80386650933914,6.9731265206485205e-09,26.689999043912827,AudioLDM2
/scratch/rc01492/experiments/exp1b_audioldm2/wav/001__solo piano romantic piece_ warm room_ emotional performance.wav,10.0,0.11677256971597672,-18.65318332086785,0.5151529908190237,5.282049719857849,510.84682989231334,225.79323489467518,2.5275754822473573e-09,28.860273412488407,AudioLDM2
/scratch/rc01492/experiments/exp1b_audioldm2/wav/002__solo piano baroque style_ dry studio_ precise fingerwork_ ha.wav,10.0,0.09847285598516464,-20.13366961759136,0.5288143157968984,4.1962662610355626,478.8669434023787,248.27836092983506,8.778957005795007e-10,37.05226277144993,AudioLDM2
/scratch/rc01492/experiments/exp1b_audioldm2/wav/003__solo piano contemporary composition_ intimate space_ complex.wav,10.0,0.08064590394496918,-21.86835407763704,0.46831482648949485,6.205307197648792,494.85420837918196,212.028783076733,2.1211016276723171e-10,26.620516878906635,AudioLDM2
/scratch/rc01492/experiments/exp1b_audioldm2/wav/004__solo piano chopin nocturne_ large hall_ rubato phrasing_ del.wav,10.0,0.09869720786809921,-20.113902742965635,0.5099005699167715,4.7895299830210405,547.6096545293078,261.73936570314544,1.2892670264719186e-10,24.933769710637513,AudioLDM2
/scratch/rc01492/experiments/exp1b_audioldm2/wav/005__solo piano beethoven sonata_ medium room_ powerful chords_ d.wav,10.0,0.09916310757398605,-20.07299743355564,0.6249285936365591,4.112374894267996,463.97943926224144,257.24440518801987,9.452424259981385e-11,24.477250421784266,AudioLDM2
/scratch/rc01492/experiments/exp1b_audioldm2/wav/006__solo piano jazz improvisation_ club atmosphere_ swing rhythm.wav,10.0,0.09191640466451645,-20.732139668119917,0.5401651859293447,6.6902490509660595,459.87752568148454,248.5965454613836,3.346827259775864e-09,33.60035095875539,AudioLDM2
/scratch/rc01492/experiments/exp1b_audioldm2/wav/007__solo piano minimalistic piece_ small chamber_ repetitive pat.wav,10.0,0.08094726502895355,-21.83595643214112,0.5658771991739736,6.345254265368729,472.70490933952306,236.8589423042208,6.157433229958542e-09,29.6258271543433,AudioLDM2
/scratch/rc01492/experiments/exp1b_audioldm2/wav/008__solo piano fast etude_ bright room_ technical virtuosity_ ra.wav,10.0,0.09320332854986191,-20.611371264297436,0.5216277837763296,4.468152253780971,570.2152781381848,236.63058417954394,1.3891127137455328e-09,26.64684022101181,AudioLDM2
/scratch/rc01492/experiments/exp1b_audioldm2/wav/009__solo piano slow ballad_ intimate setting_ emotional melody_ .wav,10.0,0.08490617573261261,-21.42121457090202,0.44855755567650657,5.261860541192713,404.91189224080824,215.30960661825696,1.3852051450324865e-10,37.4763785460692,AudioLDM2
