index,model,file,prompt,clap_similarity
0,ALDM1,000__solo piano classical sonata_ concert hall_ expressive dynami.wav,"solo piano classical sonata, concert hall, expressive dynamics, clear articulation",0.5477848052978516
1,ALDM1,001__solo piano romantic piece_ warm room_ emotional performance.wav,"solo piano romantic piece, warm room, emotional performance, sustained pedaling",0.577914834022522
2,ALDM1,002__solo piano baroque style_ dry studio_ precise fingerwork_ ha.wav,"solo piano baroque style, dry studio, precise fingerwork, harpsichord-like tone",0.5577155351638794
3,ALDM1,003__solo piano contemporary composition_ intimate space_ complex.wav,"solo piano contemporary composition, intimate space, complex harmonies, percussive elements",0.6220215559005737
4,ALDM1,004__solo piano chopin nocturne_ large hall_ rubato phrasing_ del.wav,"solo piano chopin nocturne, large hall, rubato phrasing, delicate touch",0.5603240728378296
5,ALDM1,005__solo piano beethoven sonata_ medium room_ powerful chords_ d.wav,"solo piano beethoven sonata, medium room, powerful chords, dramatic contrasts",0.6515389084815979
6,ALDM1,006__solo piano jazz improvisation_ club atmosphere_ swing rhythm.wav,"solo piano jazz improvisation, club atmosphere, swing rhythm, bluesy notes",0.5967084169387817
7,ALDM1,007__solo piano minimalistic piece_ small chamber_ repetitive pat.wav,"solo piano minimalistic piece, small chamber, repetitive patterns, meditative quality",0.6497232913970947
8,ALDM1,008__solo piano fast etude_ bright room_ technical virtuosity_ ra.wav,"solo piano fast etude, bright room, technical virtuosity, rapid scales",0.5815240144729614
9,ALDM1,009__solo piano slow ballad_ intimate setting_ emotional melody_ .wav,"solo piano slow ballad, intimate setting, emotional melody, soft dynamics",0.6428849697113037
10,ALDM1,010__solo violin classical concerto_ concert hall_ virtuosic perf.wav,"solo violin classical concerto, concert hall, virtuosic performance, rich vibrato",0.45088082551956177
11,ALDM1,011__solo cello baroque suite_ chamber hall_ warm tone_ expressiv.wav,"solo cello baroque suite, chamber hall, warm tone, expressive bowing",0.44718003273010254
12,ALDM1,012__solo flute mozart concerto_ medium room_ airy sound_ precise.wav,"solo flute mozart concerto, medium room, airy sound, precise articulation",0.494340181350708
13,ALDM1,013__solo clarinet romantic piece_ warm space_ mellow timbre_ smo.wav,"solo clarinet romantic piece, warm space, mellow timbre, smooth legato",0.42147958278656006
14,ALDM1,014__solo trumpet fanfare_ large hall_ bright brass_ strong attac.wav,"solo trumpet fanfare, large hall, bright brass, strong attack",0.5128011107444763
15,ALDM1,015__violin and cello duet_ chamber hall_ counterpoint_ harmoniou.wav,"violin and cello duet, chamber hall, counterpoint, harmonious blend",0.6288028955459595
