file,duration,rms,rms_db,peak,snr,spectral_centroid,spectral_bandwidth,frequency_diversity,dynamic_range,model
/scratch/rc01492/experiments/final/exp2a_audioldm1_retrieval_augment/wav/000__solo_piano_classical_sonata__concert_hall__expressive_dynami.wav,10.0,0.046539269387722015,-26.64361000061035,0.43579816818237305,18.79656982421875,777.4013351973196,237.36003571502894,6.520974238810595e-06,58.83693313598633,AudioLDM1-augment
/scratch/rc01492/experiments/final/exp2a_audioldm1_retrieval_augment/wav/001__solo_piano_romantic_piece__warm_room__emotional_performance_.wav,10.0,0.06654457002878189,-23.537748336791992,0.5327318906784058,15.687966346740723,465.6527447374283,142.29562510093777,4.527760211203713e-06,56.53036117553711,AudioLDM1-augment
/scratch/rc01492/experiments/final/exp2a_audioldm1_retrieval_augment/wav/002__solo_piano_baroque_style__dry_studio__precise_fingerwork__ha.wav,10.0,0.05458976700901985,-25.257776260375977,0.40769532322883606,21.967754364013672,602.4423864658961,207.08114425290034,4.3302679841872305e-06,66.9721908569336,AudioLDM1-augment
/scratch/rc01492/experiments/final/exp2a_audioldm1_retrieval_augment/wav/003__solo_piano_contemporary_composition__intimate_space__complex.wav,10.0,0.05835992842912674,-24.677705764770508,0.4973280131816864,12.145492553710938,655.6843234963744,228.2646911513778,5.032662556914147e-06,54.44719314575195,AudioLDM1-augment
/scratch/rc01492/experiments/final/exp2a_audioldm1_retrieval_augment/wav/004__solo_piano_chopin_nocturne__large_hall__rubato_phrasing__del.wav,10.0,0.05901151895523071,-24.581262588500977,0.4622412621974945,10.286649703979492,579.9676903658413,217.387647003352,4.828686996916076e-06,48.123050689697266,AudioLDM1-augment
/scratch/rc01492/experiments/final/exp2a_audioldm1_retrieval_augment/wav/005__solo_piano_beethoven_sonata__medium_room__powerful_chords__d.wav,10.0,0.060077231377363205,-24.42580223083496,0.36223357915878296,10.002360343933105,619.1993394720013,196.3172015016714,4.647984496841673e-06,46.790252685546875,AudioLDM1-augment
/scratch/rc01492/experiments/final/exp2a_audioldm1_retrieval_augment/wav/006__solo_piano_jazz_improvisation__club_atmosphere__swing_rhythm.wav,10.0,0.11434996128082275,-18.83527946472168,0.7114088535308838,8.540877342224121,449.4392032181153,410.2122103667536,4.639040525944438e-06,45.67902374267578,AudioLDM1-augment
/scratch/rc01492/experiments/final/exp2a_audioldm1_retrieval_augment/wav/007__solo_piano_minimalistic_piece__small_chamber__repetitive_pat.wav,10.0,0.12569326162338257,-18.013761520385742,0.6963347792625427,5.501213073730469,450.66096354627996,144.93489498939422,4.729119154944783e-06,33.15222930908203,AudioLDM1-augment
/scratch/rc01492/experiments/final/exp2a_audioldm1_retrieval_augment/wav/008__solo_piano_fast_etude__bright_room__technical_virtuosity__ra.wav,10.0,0.1004430428147316,-19.96160316467285,0.5314087271690369,6.845951557159424,500.47370615811747,225.5669259074964,5.510351911652833e-06,39.70450973510742,AudioLDM1-augment
/scratch/rc01492/experiments/final/exp2a_audioldm1_retrieval_augment/wav/009__solo_piano_slow_ballad__intimate_setting__emotional_melody_.wav,10.0,0.08714107424020767,-21.19554328918457,0.6238172054290771,8.563512802124023,419.1504168502539,164.7152404076347,4.5286956265044864e-06,35.644649505615234,AudioLDM1-augment
/scratch/rc01492/experiments/final/exp2a_audioldm1_retrieval_augment/wav/010__solo_violin_classical_concerto__concert_hall__virtuosic_perf.wav,10.0,0.1658681333065033,-15.604742050170898,0.882595956325531,4.609793663024902,804.106607867247,376.1626539530219,1.498176175118715e-06,29.586994171142578,AudioLDM1-augment
