file,duration,rms,rms_db,peak,snr,spectral_centroid,spectral_bandwidth,frequency_diversity,dynamic_range,model
/scratch/rc01492/experiments/final/exp2g_audioldm2_music_retrieval_external_adapter/wav/000__solo_piano_classical_sonata__concert_hall__expressive_dynami.wav,10.0,0.12263214588165283,-18.22791290283203,0.417776882648468,1.8431732654571533,322.7966462782254,539.1831435688968,1.345029598809333e-08,16.97711753845215,AudioLDM2_music-external_adapter
/scratch/rc01492/experiments/final/exp2g_audioldm2_music_retrieval_external_adapter/wav/001__solo_piano_romantic_piece__warm_room__emotional_performance_.wav,10.0,0.09500394761562347,-20.445167541503906,0.5520197153091431,2.296952962875366,551.9284350279651,826.0428411906597,3.4422384942445206e-08,15.90182113647461,AudioLDM2_music-external_adapter
/scratch/rc01492/experiments/final/exp2g_audioldm2_music_retrieval_external_adapter/wav/002__solo_piano_baroque_style__dry_studio__precise_fingerwork__ha.wav,10.0,0.03971659392118454,-28.02056121826172,0.578850269317627,4.758196830749512,3690.417712754891,1669.402387031332,6.64328908897005e-05,26.695575714111328,AudioLDM2_music-external_adapter
/scratch/rc01492/experiments/final/exp2g_audioldm2_music_retrieval_external_adapter/wav/003__solo_piano_contemporary_composition__intimate_space__complex.wav,10.0,0.10190755873918533,-19.835872650146484,0.5967128276824951,3.8157269954681396,571.3302883906939,401.08219060994776,7.696701609383183e-10,23.47124481201172,AudioLDM2_music-external_adapter
/scratch/rc01492/experiments/final/exp2g_audioldm2_music_retrieval_external_adapter/wav/004__solo_piano_chopin_nocturne__large_hall__rubato_phrasing__del.wav,10.0,0.09092573076486588,-20.826263427734375,0.43963807821273804,6.080503463745117,677.5058642749847,275.6124181804159,9.287869917606884e-10,32.403778076171875,AudioLDM2_music-external_adapter
/scratch/rc01492/experiments/final/exp2g_audioldm2_music_retrieval_external_adapter/wav/005__solo_piano_beethoven_sonata__medium_room__powerful_chords__d.wav,10.0,0.0821746289730072,-21.705245971679688,0.5398480892181396,6.810863018035889,411.316809197731,357.00756220505633,1.7175800337554392e-08,36.32736587524414,AudioLDM2_music-external_adapter
/scratch/rc01492/experiments/final/exp2g_audioldm2_music_retrieval_external_adapter/wav/006__solo_piano_jazz_improvisation__club_atmosphere__swing_rhythm.wav,10.0,0.08787690848112106,-21.12250518798828,0.5970098972320557,5.176144599914551,430.5492247218552,476.7762739280955,3.419984651031882e-08,24.137136459350586,AudioLDM2_music-external_adapter
/scratch/rc01492/experiments/final/exp2g_audioldm2_music_retrieval_external_adapter/wav/007__solo_piano_minimalistic_piece__small_chamber__repetitive_pat.wav,10.0,0.0933712050318718,-20.595741271972656,0.4874557852745056,2.053016185760498,809.0030831021573,577.5683585561367,9.38103905667731e-09,17.006790161132812,AudioLDM2_music-external_adapter
/scratch/rc01492/experiments/final/exp2g_audioldm2_music_retrieval_external_adapter/wav/008__solo_piano_fast_etude__bright_room__technical_virtuosity__ra.wav,10.0,0.05585199594497681,-25.05922508239746,0.6031815409660339,4.39768123626709,291.7067954213453,428.70699132758557,2.0071358619588864e-07,24.991445541381836,AudioLDM2_music-external_adapter
/scratch/rc01492/experiments/final/exp2g_audioldm2_music_retrieval_external_adapter/wav/009__solo_piano_slow_ballad__intimate_setting__emotional_melody_.wav,10.0,0.06387358903884888,-23.893573760986328,0.6999627351760864,2.8035972118377686,811.8178902128302,1016.5389470194027,5.112238454785256e-07,20.43478775024414,AudioLDM2_music-external_adapter
