file,duration,rms,rms_db,peak,snr,spectral_centroid,spectral_bandwidth,frequency_diversity,dynamic_range,model
/scratch/rc01492/experiments/final/exp2b_audioldm1_retrieval_external_adapter/wav/000__solo_piano_classical_sonata__concert_hall__expressive_dynami.wav,10.0,0.009604801423847675,-40.3502311706543,0.160426065325737,29.691577911376953,197.01891401645446,197.44629516534587,1.2828894796257373e-05,70.67451477050781,AudioLDM1-external_adapter
/scratch/rc01492/experiments/final/exp2b_audioldm1_retrieval_external_adapter/wav/001__solo_piano_romantic_piece__warm_room__emotional_performance_.wav,10.0,0.0091522466391325,-40.76944351196289,0.23260140419006348,11.615992546081543,186.34424187822512,223.39073979737992,5.269645498628961e-06,47.931610107421875,AudioLDM1-external_adapter
/scratch/rc01492/experiments/final/exp2b_audioldm1_retrieval_external_adapter/wav/002__solo_piano_baroque_style__dry_studio__precise_fingerwork__ha.wav,10.0,0.01936810463666916,-34.25825881958008,0.5099521279335022,21.07222557067871,366.17904381883,322.93590423382415,9.494167898083106e-06,65.37356567382812,AudioLDM1-external_adapter
/scratch/rc01492/experiments/final/exp2b_audioldm1_retrieval_external_adapter/wav/003__solo_piano_contemporary_composition__intimate_space__complex.wav,10.0,0.05526662990450859,-25.150739669799805,0.6959690451622009,13.506293296813965,321.2110567717418,259.1800049365128,4.806801825907314e-06,48.023834228515625,AudioLDM1-external_adapter
/scratch/rc01492/experiments/final/exp2b_audioldm1_retrieval_external_adapter/wav/004__solo_piano_chopin_nocturne__large_hall__rubato_phrasing__del.wav,10.0,0.022635161876678467,-32.904327392578125,0.18507486581802368,21.366186141967773,289.24702012935575,168.38343536259546,5.768552000517957e-06,71.01920318603516,AudioLDM1-external_adapter
/scratch/rc01492/experiments/final/exp2b_audioldm1_retrieval_external_adapter/wav/005__solo_piano_beethoven_sonata__medium_room__powerful_chords__d.wav,10.0,0.020197460427880287,-33.894065856933594,0.271838903427124,33.70162582397461,350.7008549076065,282.6132050851568,1.3743812814936973e-05,80.91427612304688,AudioLDM1-external_adapter
/scratch/rc01492/experiments/final/exp2b_audioldm1_retrieval_external_adapter/wav/006__solo_piano_jazz_improvisation__club_atmosphere__swing_rhythm.wav,10.0,0.042661525309085846,-27.399272918701172,0.34077632427215576,19.678556442260742,503.59990395179994,373.9806643805763,6.9782799982931465e-06,86.5007095336914,AudioLDM1-external_adapter
/scratch/rc01492/experiments/final/exp2b_audioldm1_retrieval_external_adapter/wav/007__solo_piano_minimalistic_piece__small_chamber__repetitive_pat.wav,10.0,0.016859324648976326,-35.46319580078125,0.1637529730796814,9.268548965454102,102.25621363375832,103.491408422815,3.7056515633793197e-09,40.02347946166992,AudioLDM1-external_adapter
/scratch/rc01492/experiments/final/exp2b_audioldm1_retrieval_external_adapter/wav/008__solo_piano_fast_etude__bright_room__technical_virtuosity__ra.wav,10.0,0.017125790938735008,-35.326988220214844,0.2552628219127655,32.20048522949219,563.2975081928319,550.2862770967583,2.2691307094646618e-05,76.96867370605469,AudioLDM1-external_adapter
/scratch/rc01492/experiments/final/exp2b_audioldm1_retrieval_external_adapter/wav/009__solo_piano_slow_ballad__intimate_setting__emotional_melody_.wav,10.0,0.025389695540070534,-31.906850814819336,0.27858105301856995,23.610637664794922,217.87341817201087,176.83864294425774,7.059217296045972e-06,73.38456726074219,AudioLDM1-external_adapter
