file,duration,rms,rms_db,peak,snr,spectral_centroid,spectral_bandwidth,frequency_diversity,dynamic_range,model
/scratch/rc01492/experiments/final/exp2e_audioldm2_retrieval_external_adapter/wav/000__solo_piano_classical_sonata__concert_hall__expressive_dynami.wav,10.0,0.1340177357196808,-17.456754684448242,0.5044443011283875,5.252516269683838,297.91792375088875,583.8693224193574,1.9578624232963193e-07,28.306930541992188,AudioLDM2-external_adapter
/scratch/rc01492/experiments/final/exp2e_audioldm2_retrieval_external_adapter/wav/001__solo_piano_romantic_piece__warm_room__emotional_performance_.wav,10.0,0.07952795177698135,-21.98960304260254,0.42664167284965515,2.2845685482025146,675.3693223122951,1047.3298450648338,1.0894624580259915e-07,16.066007614135742,AudioLDM2-external_adapter
/scratch/rc01492/experiments/final/exp2e_audioldm2_retrieval_external_adapter/wav/002__solo_piano_baroque_style__dry_studio__precise_fingerwork__ha.wav,10.0,0.055710602551698685,-25.08124351501465,0.8763372898101807,10.789091110229492,3813.5773971423796,1579.6759796009255,0.00020191377552691847,60.92749786376953,AudioLDM2-external_adapter
/scratch/rc01492/experiments/final/exp2e_audioldm2_retrieval_external_adapter/wav/003__solo_piano_contemporary_composition__intimate_space__complex.wav,10.0,0.1105508953332901,-19.128753662109375,0.7019386291503906,5.281177520751953,565.1036581124966,335.36470768123047,1.5613870196773405e-09,30.002565383911133,AudioLDM2-external_adapter
/scratch/rc01492/experiments/final/exp2e_audioldm2_retrieval_external_adapter/wav/004__solo_piano_chopin_nocturne__large_hall__rubato_phrasing__del.wav,10.0,0.06877140700817108,-23.251842498779297,0.48877623677253723,10.446891784667969,707.7953405632022,282.110474532507,1.851236497429909e-08,43.519752502441406,AudioLDM2-external_adapter
/scratch/rc01492/experiments/final/exp2e_audioldm2_retrieval_external_adapter/wav/005__solo_piano_beethoven_sonata__medium_room__powerful_chords__d.wav,10.0,0.05937720462679863,-24.527605056762695,0.661512017250061,13.65786361694336,864.7418608742236,833.5359507110583,1.5935116607579403e-05,68.01148986816406,AudioLDM2-external_adapter
/scratch/rc01492/experiments/final/exp2e_audioldm2_retrieval_external_adapter/wav/006__solo_piano_jazz_improvisation__club_atmosphere__swing_rhythm.wav,10.0,0.09146251529455185,-20.775136947631836,0.7199435234069824,4.877252578735352,459.87599092201594,531.078836386987,3.403923543032761e-08,23.805538177490234,AudioLDM2-external_adapter
/scratch/rc01492/experiments/final/exp2e_audioldm2_retrieval_external_adapter/wav/007__solo_piano_minimalistic_piece__small_chamber__repetitive_pat.wav,10.0,0.08846636116504669,-21.064435958862305,0.47387486696243286,2.070021867752075,719.659820117606,554.5614423578318,8.44527736632017e-09,17.730783462524414,AudioLDM2-external_adapter
/scratch/rc01492/experiments/final/exp2e_audioldm2_retrieval_external_adapter/wav/008__solo_piano_fast_etude__bright_room__technical_virtuosity__ra.wav,10.0,0.03475493565201759,-29.179670333862305,0.5607380867004395,5.172484397888184,557.7286215874589,765.3453793139306,3.687578782773926e-06,21.15673065185547,AudioLDM2-external_adapter
/scratch/rc01492/experiments/final/exp2e_audioldm2_retrieval_external_adapter/wav/009__solo_piano_slow_ballad__intimate_setting__emotional_melody_.wav,10.0,0.05564911291003227,-25.090835571289062,0.6573494672775269,2.8322677612304688,880.2590103196894,1092.091614795342,7.772346179990564e-07,16.458837509155273,AudioLDM2-external_adapter
/scratch/rc01492/experiments/final/exp2e_audioldm2_retrieval_external_adapter/wav/010__solo_violin_classical_concerto__concert_hall__virtuosic_perf.wav,10.0,0.04058997333049774,-27.831626892089844,0.5203717350959778,38.64910125732422,619.6671592240622,642.7425615217375,0.00011287129746051505,92.55924987792969,AudioLDM2-external_adapter
/scratch/rc01492/experiments/final/exp2e_audioldm2_retrieval_external_adapter/wav/011__solo_cello_baroque_suite__chamber_hall__warm_tone__expressiv.wav,10.0,0.08229269832372665,-21.692773818969727,0.47249096632003784,4.706820487976074,694.0191679736823,374.4770385946886,2.295431178467311e-09,28.7154598236084,AudioLDM2-external_adapter
/scratch/rc01492/experiments/final/exp2e_audioldm2_retrieval_external_adapter/wav/012__solo_flute_mozart_concerto__medium_room__airy_sound__precise.wav,10.0,0.04434208944439888,-27.063676834106445,0.7958590984344482,6.867153644561768,1596.0875009710476,1397.1847660597316,2.09241497941548e-05,30.73281478881836,AudioLDM2-external_adapter
/scratch/rc01492/experiments/final/exp2e_audioldm2_retrieval_external_adapter/wav/013__solo_clarinet_romantic_piece__warm_space__mellow_timbre__smo.wav,10.0,0.07615959644317627,-22.365509033203125,0.4981982707977295,7.35790491104126,969.3819127494751,887.4992523007147,1.3181310976051464e-07,40.090232849121094,AudioLDM2-external_adapter
/scratch/rc01492/experiments/final/exp2e_audioldm2_retrieval_external_adapter/wav/014__solo_trumpet_fanfare__large_hall__bright_brass__strong_attac.wav,10.0,0.09468051046133041,-20.474788665771484,0.6011867523193359,6.576609134674072,544.1483112927064,579.9594755387208,6.778780203831047e-08,28.980621337890625,AudioLDM2-external_adapter
/scratch/rc01492/experiments/final/exp2e_audioldm2_retrieval_external_adapter/wav/015__violin_and_cello_duet__chamber_hall__counterpoint__harmoniou.wav,10.0,0.045235373079776764,-26.89043426513672,0.5453674793243408,7.717339992523193,2797.4993019769336,1751.8224399628225,6.946607027202845e-05,36.95622253417969,AudioLDM2-external_adapter
